X,Y,N
-3.6180286,1.7479423,4
-3.1967435,-0.021919431,4
-6.1900945,-2.4361365,4
-3.0826719,4.339392,4
0.9761787,10.311964,4
14.004425,-5.9978356,4
1.6416792,4.6318913,4
2.2213705,14.088424,4
-1.4906418,-5.686999,4
8.267581,-1.8843105,4
1.593072,0.31716266,4
12.317523,-1.2006484,4
12.008885,-1.663496,4
3.7779138,2.1418195,4
12.829418,2.6960268,4
7.4314284,4.311143,4
-8.789782,-2.9424686,4
-3.682349,-3.0779967,4
-6.1729827,-8.099541,4
-4.555001,-7.857631,4
-6.378434,-8.1594515,4
2.4644246,2.6996274,4
-5.536012,-6.1252975,4
4.4214864,9.448006,4
14.893084,4.9828854,4
0.5020634,2.2944434,4
-0.019162955,9.505602,4
-5.943562,-7.530373,4
-2.141321,-9.474726,4
1.9311268,-4.593754,4
-7.4118056,-2.6970563,4
-6.36834,-2.3952305,4
-0.12735206,5.7318854,4
-3.5242553,2.5489,4
11.2187,0.035307076,4
-1.9191301,-3.440247,4
-5.966199,-7.436014,4
-3.719961,4.2103753,4
-5.5556912,-2.8561277,4
-2.2884734,-5.5342245,4
-5.9476757,-5.2678843,4
-5.637095,-8.135855,4
3.336533,3.0657697,4
-0.85419816,-3.4992814,4
0.24723877,-3.4782732,4
5.377056,6.6205554,4
5.085109,2.6703765,4
7.1224785,5.529267,4
-3.5729353,-5.439674,4
-6.9804215,-1.6838443,4
-3.7581851,-7.5012813,4
6.4382844,15.429175,4
-1.1938213,6.571704,4
-8.581055,-2.0628958,4
-5.989765,-5.037507,4
-9.87343,-6.6925707,4
2.4288464,-0.509691,4
-2.578267,-3.6030462,4
2.2868216,1.4625725,4
-4.728568,-2.8001065,4
7.9900737,5.8199463,4
0.04990887,-9.429466,4
12.558811,-1.2254509,4
0.8178553,-2.2367365,4
-8.842313,-2.6173766,4
5.3766003,2.3775222,4
-6.04964,-4.852813,4
6.90042,2.1376572,4
1.6037766,-5.0318656,4
6.4529033,0.9883124,4
2.2131526,-0.4467419,4
