structure_code,temperature_k,source,temperature_column,temperature_remark,line_number
XODGON,153.0,temperature_column,153.0,,908
XODGUT01,153.0,temperature_column,153.0,,909
XODKOS,120.0,temperature_column,120.0,,910
XOGCOO,150.0,temperature_column,150.0,,911
XOLDAD,155.0,temperature_column,155.0,,912
XOVPUV,150.0,temperature_column,150.0,,913
XOVRAC,90.0,temperature_column,90.0,,914
XOVREG,90.0,temperature_column,90.0,,915
XOWCIW,173.0,temperature_column,173.0,,916
XUBJEK,173.0,temperature_column,173.0,,917
XUDXIE,293.0,temperature_column,293.0,,918
XUFKAM,123.0,temperature_column,123.0,,919
XUJVED,293.0,temperature_column,293.0,,920
XUPRAC,100.0,temperature_column,100.0,,921
XUQCOD,100.0,temperature_column,100.0,,922
XUWQEN,93.0,temperature_column,93.0,,923
YACQEC,100.0,temperature_column,100.0,,924
YAHMUS,103.0,temperature_column,103.0,,925
YAKNIL,100.0,temperature_column,100.0,,926
YAPFIF,293.0,temperature_column,293.0,,927
YAQDUQ,183.0,temperature_column,183.0,,928
YATNEN,150.0,temperature_column,150.0,,929
YAWWID,193.0,temperature_column,193.0,,930
YEDGAR,294.0,temperature_column,294.0,,931
YEKLAD,123.0,temperature_column,123.0,,932
YEKLEH,123.0,temperature_column,123.0,,933
YEWROJ,294.0,temperature_column,294.0,,934
YICMAA,100.0,temperature_column,100.0,,935
YIGLAD,123.0,temperature_column,123.0,,936
YIKVOD,293.0,temperature_column,293.0,,937
YIYSOP,173.0,temperature_column,173.0,,938
YIZQUV,130.0,temperature_column,130.0,,939
YIZXEM,100.0,temperature_column,100.0,,940
YOBFAY,150.0,temperature_column,150.0,,941
YOHWEZ,100.0,temperature_column,100.0,,942
YOKDEI,150.0,temperature_column,150.0,,943
YOLVAX,133.0,temperature_column,133.0,,944
YOPGES,93.0,temperature_column,93.0,,945
YOSNEA,100.0,temperature_column,100.0,,946
YOSQUV,173.0,temperature_column,173.0,,947
YUFMET,150.0,temperature_column,150.0,,948
YUFYEE,293.0,temperature_column,293.0,,949
YUGHUD,295.0,temperature_column,295.0,,950
YUGSAW,100.0,temperature_column,100.0,,951
YUTRIO,295.0,temperature_column,295.0,,952
YUZDAY,160.0,temperature_column,160.0,,953
ZALJIG,295.0,temperature_column,295.0,,954
ZAMGAY,103.0,temperature_column,103.0,,955
ZASCUR,295.0,temperature_column,295.0,,956
ZASMOX,150.0,temperature_column,150.0,,957
ZAXSAS,295.0,temperature_column,295.0,,958
ZECMUR,173.0,temperature_column,173.0,,959
ZEDWIQ,150.0,temperature_column,150.0,,960
ZEJJEF,173.0,temperature_column,173.0,,961
ZEJYOC,223.0,temperature_column,223.0,,962
ZEPJOW,100.0,temperature_column,100.0,,963
ZEPJUC,100.0,temperature_column,100.0,,964
ZESMOZ,295.0,temperature_column,295.0,,965
ZIHTAN,170.0,temperature_column,170.0,,966
ZISMUL,293.0,temperature_column,293.0,,967
ZITFUF,150.0,temperature_column,150.0,,968
